Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the click on all properties.,RE-106,10105,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 4:55 PM,09/Sep/21 4:06 AM,09/Sep/21 3:29 AM,08/Sep/21 5:12 PM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-2,,,,,,,,,,{},,,,,,,0|i0000q:zzx,,RE Sprint 4,,,,,,,,,,Done
Verify the region field field with Special characters,RE-104,10103,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 11:04 AM,09/Sep/21 4:07 AM,08/Sep/21 4:45 PM,08/Sep/21 11:13 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-14,,,,,,,,,,{},,,,,,,0|i0000q:zuwi,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the region field with alphanumeric data.,RE-103,10102,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 11:04 AM,09/Sep/21 4:12 AM,09/Sep/21 4:53 AM,08/Sep/21 11:13 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-14,,,,,,,,,,{},,,,,,,0|i0000q:zw,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Verify the region field with numeric data.,RE-102,10101,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 11:03 AM,09/Sep/21 4:05 AM,09/Sep/21 4:53 AM,08/Sep/21 11:13 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-14,,,,,,,,,,{},,,,,,,0|i0000q:zuwr,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
Future date is accepted in posted by field.,RE-101,10100,Bug,To Do,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 10:03 AM,09/Sep/21 2:36 AM,09/Sep/21 2:36 AM,,,0,"Future date is accepted in posted by field.

Steps to reproduce-

1.Go to real estate site application.

[2.Do|http://2.do/] the login in process by using username and password.

3.Go to all properties module.

4.Go to quick edit page of title field.

5.on that page date field is available when we click the future date that also accepted.

6.verify these future date is show in posted by field.

expected Result-

future date should not be accepted in posted by field

Actual Result-

Future date is accepted in posted by field.

!Date-20210909-023552.PNG|width=254,height=304!",,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-95,,09/Sep/21 2:36 AM;ug:344917ca-ed78-4eec-8606-29a610e791bd;Date-20210909-023552.PNG;https://realestate1501.atlassian.net/secure/attachment/10002/Date-20210909-023552.PNG,,,,,,,,{},,,,,,,0|i0000l:r,,RE Sprint 2,RE Sprint 4,,,,,,,,,To Do
Pending review option for approved in edit field and quick edit field should not getting same result.,RE-100,10099,Bug,To Do,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 10:03 AM,09/Sep/21 2:40 AM,09/Sep/21 2:41 AM,,,0,"Pending review option for approved in edit field and quick edit field should not getting same result.

Steps to reproduce for edit field-

1.Go to real estate site application.

[2.Do|http://2.Do] the login in process by using username and password.

3.Go to all properties module.

4.Go to quick edit page on that page go to the status field and select the pending review status.

5.click on pending review status approved action is performed.

6.verify the approved action then getting the no change on screen(only refresh the page).

Steps to reproduce for quick edit field-

1.Go to real estate site application.

[2.Do|http://2.Do] the login in process by using username and password.

3.Go to all properties module.

4.Go to edit page on that page go to the status field and select the pending review status.

5.click on pending review status approved action is performed.

6.verify the approved action then getting the new page open with’0' value.

expected Result-

Pending review option for approved in edit field and quick edit field should be getting same result.

Actual Result-

Pending review option for approved in edit field and quick edit field should not getting same result.

!image-20210909-023818.png|width=1322,height=143!

!quick edit approved-20210909-023918.PNG|width=138,height=176!

!image-20210909-024036.png|width=1307,height=93!",,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-56,RE-51,09/Sep/21 2:40 AM;ug:344917ca-ed78-4eec-8606-29a610e791bd;image-20210909-023818.png;https://realestate1501.atlassian.net/secure/attachment/10004/image-20210909-023818.png,09/Sep/21 2:40 AM;ug:344917ca-ed78-4eec-8606-29a610e791bd;image-20210909-024036.png;https://realestate1501.atlassian.net/secure/attachment/10005/image-20210909-024036.png,09/Sep/21 2:40 AM;ug:344917ca-ed78-4eec-8606-29a610e791bd;quick edit approved-20210909-023918.PNG;https://realestate1501.atlassian.net/secure/attachment/10003/quick+edit+approved-20210909-023918.PNG,,,,,,{},,,,,,,0|i0000m:,,RE Sprint 2,RE Sprint 4,,,,,,,,,To Do
"""Password filed"" accepted more than 10 characters.",RE-99,10098,Bug,To Do,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 10:01 AM,08/Sep/21 4:53 PM,09/Sep/21 2:34 AM,,,0,"Password field is accepting more than 10 characters.

Steps to reproduce-

1.Go to real estate site application.

[2.Do|http://2.Do] the login in process by using username and password.

3.Go to all properties module.

4.Go to quick edit page of title field name.

5.Verify the password field.

expected Result-

""Password field"" should not be accepting more than 10 characters.

Actual Result-

""Password field"" is accepting more than 10 characters.",,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-71,,,,,,,,,,{},,,,,,,0|i0000l:i,,RE Sprint 2,RE Sprint 4,,,,,,,,,To Do
"""Title field"" accepted special characters.",RE-98,10097,Bug,To Do,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 10:01 AM,09/Sep/21 2:33 AM,09/Sep/21 2:33 AM,,,0,"Title field is accepting special characters.

Steps to reproduce-

1.Go to real estate site application.

[2.Do|http://2.Do] the login in process by using username and password.

3.Go to all properties module.

4.Go to quick edit page of title field name.

5.Verify the title name field.

expected Result-

""title name field"" should not be accepting special characters.

Actual Result-

""title name field"" is accepting special characters.

!Title field-20210909-023043.PNG|width=615,height=210!",,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-34,,09/Sep/21 2:33 AM;ug:344917ca-ed78-4eec-8606-29a610e791bd;Title field-20210909-023043.PNG;https://realestate1501.atlassian.net/secure/attachment/10001/Title+field-20210909-023043.PNG,,,,,,,,{},,,,,,,0|i0000l:,,RE Sprint 2,RE Sprint 4,,,,,,,,,To Do
"""title name field"" accepting more than 30 characters.",RE-97,10096,Bug,To Do,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 10:00 AM,09/Sep/21 2:31 AM,09/Sep/21 2:32 AM,,,0,"Title field is accepting more than 30 characters.

Steps to reproduce-

1.Go to real estate site application.

[2.Do|http://2.Do] the login in process by using username and password.

3.Go to all properties module.

4.Go to quick edit page of title field name.

5.Verify the title name field.

expected Result-

""title name field"" should not be accepting more than 30 characters.

Actual Result-

""title name field"" is accepting more than 30 characters.

!Title field-20210909-023043.PNG|width=615,height=210!",,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,RE-80,,09/Sep/21 2:31 AM;ug:344917ca-ed78-4eec-8606-29a610e791bd;Title field-20210909-023043.PNG;https://realestate1501.atlassian.net/secure/attachment/10000/Title+field-20210909-023043.PNG,,,,,,,,{},,,,,,,0|i0000l:9,,RE Sprint 2,RE Sprint 4,,,,,,,,,To Do
verify any timing accepted in posted by field.,RE-96,10095,Test,Done,RE,Real estate,software,Shruti Patil,612ef7c27c4e7900711e9356,,Medium,Done,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,Shruti Patil,612ef7c27c4e7900711e9356,08/Sep/21 9:55 AM,09/Sep/21 4:03 AM,09/Sep/21 4:53 AM,08/Sep/21 10:55 AM,,0,,,Shruti Patil,612ef7c27c4e7900711e9356,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0000p:,,RE Sprint 2,RE Sprint 4,,,,,,,,,Done
